host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
,,,0.0,2.0,2.0,1.0,0.0,5,1,3,1,2.0,2.0,365,900,1,41,0,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0,2,0.32,965.0
,,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,1.0,30,90,1,10,0,0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0.32,289.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,1.0,11,1,2,1,2.0,2.0,3,60,1,0,0,0,,,,,,,,0,1,,1018.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,3,1,1.0,1.0,3,15,1,0,0,0,,,,,,,,0,1,,407.0
,,,0.0,1.0,1.0,1.0,1.0,1,2,2,1,1.0,1.0,1,2,1,1,0,0,80.0,,,,,,,1,1,0.01,952.0
,,,0.0,2.0,2.0,1.0,1.0,2,2,2,1,1.0,1.0,2,15,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,0.01,503.0
,,,0.0,1.0,1.0,0.0,0.0,1,2,1,1,1.0,1.0,1,730,1,0,0,0,,,,,,,,0,1,,555.0
within a few hours,90.0,64.0,1.0,6.0,6.0,1.0,1.0,1,1,2,1,1.0,1.0,30,730,1,38,1,0,90.0,9.0,9.0,9.0,10.0,8.0,9.0,0,3,0.46,295.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,2,1,1.0,,1,730,1,0,0,0,,,,,,,,0,1,,604.0
,,,0.0,6.0,6.0,1.0,0.0,1,1,5,1,2.0,2.0,5,365,1,46,0,0,92.0,9.0,10.0,10.0,10.0,9.0,9.0,0,7,0.38,561.0
within a day,100.0,50.0,1.0,3.0,3.0,1.0,1.0,1,2,2,1,1.0,1.0,180,180,1,86,0,0,93.0,9.0,9.0,10.0,9.0,10.0,9.0,0,1,0.7,884.0
within an hour,90.0,94.0,0.0,6.0,6.0,1.0,1.0,5,1,3,1,1.0,2.0,30,300,1,9,0,0,93.0,9.0,9.0,9.0,9.0,8.0,8.0,0,8,0.08,443.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,1,2,1.0,1.0,3,30,1,0,0,0,,,,,,,,1,1,,407.0
within an hour,100.0,25.0,1.0,3.0,3.0,1.0,1.0,6,1,4,2,2.0,2.0,3,180,1,13,1,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,0.13,571.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,1,1,1.0,,1,730,1,0,0,0,,,,,,,,0,1,,476.0
,,,0.0,6.0,6.0,1.0,0.0,1,1,5,1,2.0,2.0,5,365,1,27,0,0,96.0,9.0,10.0,10.0,10.0,9.0,9.0,0,7,0.23,561.0
,,,0.0,4.0,4.0,1.0,1.0,1,1,2,1,1.0,1.0,28,150,1,16,0,0,80.0,8.0,8.0,9.0,9.0,9.0,8.0,0,3,0.15,285.0
within a few hours,100.0,,0.0,3.0,3.0,1.0,1.0,1,2,3,1,1.0,1.0,3,365,1,0,0,0,,,,,,,,0,3,,761.0
