,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,f,Besiktas,Entire home/apt,3,1 bath,2.0,2.0,$965.00,365,900,9.0,9.0,10.0,10.0,10.0,9.0,f,2
1,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$289.00,30,90,10.0,9.0,10.0,10.0,10.0,10.0,f,1
2,f,Sariyer,Entire home/apt,2,1 bath,2.0,2.0,"$1,018.00",3,60,,,,,,,f,1
3,f,Beyoglu,Private room,3,1 bath,1.0,1.0,$407.00,3,15,,,,,,,f,1
4,f,Beyoglu,Private room,2,1 bath,1.0,1.0,$952.00,1,2,,,,,,,t,1
5,f,Sisli,Private room,2,1 bath,1.0,1.0,$503.00,2,15,10.0,10.0,10.0,10.0,10.0,10.0,f,2
6,f,Beyoglu,Private room,1,1 bath,1.0,1.0,$555.00,1,730,,,,,,,f,1
7,t,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$295.00,30,730,9.0,9.0,9.0,10.0,8.0,9.0,f,3
8,f,Sisli,Private room,2,,1.0,,$604.00,1,730,,,,,,,f,1
9,f,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$561.00,5,365,9.0,10.0,10.0,10.0,9.0,9.0,f,7
10,t,Beyoglu,Private room,2,1 private bath,1.0,1.0,$884.00,180,180,9.0,9.0,10.0,9.0,10.0,9.0,f,1
11,f,Besiktas,Entire home/apt,3,1 bath,1.0,2.0,$443.00,30,300,9.0,9.0,9.0,9.0,8.0,8.0,f,8
12,f,Beyoglu,Private room,1,1.5 baths,1.0,1.0,$407.00,3,30,,,,,,,t,1
13,t,Uskudar,Entire home/apt,4,1.5 baths,2.0,2.0,$571.00,3,180,10.0,10.0,10.0,10.0,10.0,9.0,f,2
14,f,Fatih,Private room,1,,1.0,,$476.00,1,730,,,,,,,f,1
15,f,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$561.00,5,365,9.0,10.0,10.0,10.0,9.0,9.0,f,7
16,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$285.00,28,150,8.0,8.0,9.0,9.0,9.0,8.0,f,3
17,f,Beyoglu,Private room,3,1 bath,1.0,1.0,$761.00,3,365,,,,,,,f,3
18,f,Beyoglu,Private room,1,1.5 baths,2.0,2.0,$358.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
19,f,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$250.00,5,786,9.0,7.0,9.0,9.0,9.0,8.0,f,2
20,f,Beyoglu,Entire home/apt,6,1.5 baths,3.0,4.0,$952.00,3,730,10.0,10.0,10.0,10.0,10.0,10.0,f,9
21,f,Beyoglu,Private room,2,1.5 shared baths,1.0,1.0,$241.00,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,f,1
22,t,Beyoglu,Private room,1,1 shared bath,1.0,1.0,$143.00,2,30,10.0,10.0,10.0,10.0,10.0,10.0,f,1
23,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$155.00,15,300,9.0,9.0,10.0,10.0,9.0,9.0,f,8
24,f,Beyoglu,Entire home/apt,4,1 bath,2.0,2.0,$435.00,2,30,7.0,7.0,10.0,7.0,10.0,7.0,f,1
25,f,Fatih,Entire home/apt,6,1 bath,3.0,4.0,$521.00,2,100,9.0,9.0,10.0,10.0,10.0,9.0,t,13
26,t,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$281.00,3,28,10.0,10.0,10.0,10.0,9.0,9.0,t,2
27,f,Beyoglu,Entire home/apt,5,1 bath,2.0,3.0,$466.00,4,45,9.0,9.0,10.0,10.0,10.0,9.0,f,2
28,f,Kadikoy,Private room,2,1 bath,1.0,1.0,$407.00,1,14,10.0,10.0,10.0,10.0,10.0,10.0,f,1
29,f,Kagithane,Entire home/apt,2,1 bath,1.0,2.0,"$1,222.00",2,730,,,,,,,f,1
30,t,Beyoglu,Private room,1,1 shared bath,1.0,1.0,$114.00,20,1124,10.0,9.0,10.0,10.0,10.0,9.0,f,9
31,f,Kadikoy,Private room,1,,1.0,,$529.00,1,730,,,,,,,f,1
32,f,Beyoglu,Entire home/apt,4,,2.0,,$966.00,1,730,,,,,,,f,1
33,f,Kadikoy,Entire home/apt,4,1 bath,2.0,2.0,$407.00,4,60,10.0,10.0,10.0,10.0,10.0,10.0,t,1
34,f,Beyoglu,Entire home/apt,6,1 bath,2.0,5.0,$476.00,3,365,9.0,8.0,10.0,10.0,8.0,9.0,t,3
35,f,Beyoglu,Entire home/apt,4,1 bath,1.0,1.0,$428.00,15,150,9.0,8.0,9.0,8.0,7.0,8.0,f,3
36,f,Sisli,Private room,1,1 bath,1.0,1.0,$483.00,1,730,,,,,,,f,1
37,t,Sariyer,Private room,2,1.5 shared baths,1.0,2.0,$212.00,2,365,9.0,8.0,10.0,10.0,9.0,10.0,f,2
38,f,Adalar,Private room,1,,1.0,,$815.00,1,730,,,,,,,f,1
39,f,Beyoglu,Private room,2,1 private bath,,1.0,$523.00,1,365,,,,,,,f,3
