,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,0,0,0,0,5,1,3,1.0,2.0,2.0,965.0,365,900,9.0,9.0,10.0,10.0,10.0,9.0,0,2
1,1,1,1,0,1,1,2,1.0,1.0,1.0,289.0,30,90,10.0,9.0,10.0,10.0,10.0,10.0,0,1
2,3,3,3,0,1,2,3,1.0,1.0,1.0,407.0,3,15,5.0,5.0,5.0,5.0,5.0,5.0,0,1
3,4,4,4,0,1,2,2,1.0,1.0,1.0,952.0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,1,1
4,5,5,5,0,2,2,2,1.0,1.0,1.0,503.0,2,15,10.0,10.0,10.0,10.0,10.0,10.0,0,2
5,6,6,6,0,1,2,1,1.0,1.0,1.0,555.0,1,730,5.0,5.0,5.0,5.0,5.0,5.0,0,1
6,7,7,7,1,1,1,2,1.0,1.0,1.0,295.0,30,730,9.0,9.0,9.0,10.0,8.0,9.0,0,3
7,8,9,9,0,1,1,5,1.0,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
8,9,10,10,1,1,2,2,1.0,1.0,1.0,884.0,180,180,9.0,9.0,10.0,9.0,10.0,9.0,0,1
9,10,11,11,0,5,1,3,1.0,1.0,2.0,443.0,30,300,9.0,9.0,9.0,9.0,8.0,8.0,0,8
10,11,12,12,0,1,2,1,2.0,1.0,1.0,407.0,3,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
11,12,13,13,1,6,1,4,2.0,2.0,2.0,571.0,3,180,10.0,10.0,10.0,10.0,10.0,9.0,0,2
12,13,15,15,0,1,1,5,1.0,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
13,14,16,16,0,1,1,2,1.0,1.0,1.0,285.0,28,150,8.0,8.0,9.0,9.0,9.0,8.0,0,3
14,15,17,17,0,1,2,3,1.0,1.0,1.0,761.0,3,365,5.0,5.0,5.0,5.0,5.0,5.0,0,3
15,16,18,18,0,1,2,1,2.0,2.0,2.0,358.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
16,17,19,19,0,1,1,3,1.0,1.0,2.0,250.0,5,786,9.0,7.0,9.0,9.0,9.0,8.0,0,2
17,18,20,20,0,1,1,6,2.0,3.0,4.0,952.0,3,730,10.0,10.0,10.0,10.0,10.0,10.0,0,9
18,19,21,21,0,1,2,2,2.0,1.0,1.0,241.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,1
19,20,22,22,1,1,2,1,1.0,1.0,1.0,143.0,2,30,10.0,10.0,10.0,10.0,10.0,10.0,0,1
20,21,23,23,0,5,2,2,1.0,1.0,1.0,155.0,15,300,9.0,9.0,10.0,10.0,9.0,9.0,0,8
21,22,24,24,0,1,1,4,1.0,2.0,2.0,435.0,2,30,7.0,7.0,10.0,7.0,10.0,7.0,0,1
22,23,25,25,0,3,1,6,1.0,3.0,4.0,521.0,2,100,9.0,9.0,10.0,10.0,10.0,9.0,1,13
23,24,26,26,1,1,1,5,1.0,2.0,2.0,281.0,3,28,10.0,10.0,10.0,10.0,9.0,9.0,1,2
24,25,27,27,0,1,1,5,1.0,2.0,3.0,466.0,4,45,9.0,9.0,10.0,10.0,10.0,9.0,0,2
25,26,28,28,0,4,2,2,1.0,1.0,1.0,407.0,1,14,10.0,10.0,10.0,10.0,10.0,10.0,0,1
26,28,30,30,1,1,2,1,1.0,1.0,1.0,114.0,20,1124,10.0,9.0,10.0,10.0,10.0,9.0,0,9
27,29,33,33,0,4,1,4,1.0,2.0,2.0,407.0,4,60,10.0,10.0,10.0,10.0,10.0,10.0,1,1
28,30,34,34,0,1,1,6,1.0,2.0,5.0,476.0,3,365,9.0,8.0,10.0,10.0,8.0,9.0,1,3
29,31,35,35,0,1,1,4,1.0,1.0,1.0,428.0,15,150,9.0,8.0,9.0,8.0,7.0,8.0,0,3
30,32,36,36,0,2,2,1,1.0,1.0,1.0,483.0,1,730,5.0,5.0,5.0,5.0,5.0,5.0,0,1
31,33,37,37,1,11,2,2,2.0,1.0,2.0,212.0,2,365,9.0,8.0,10.0,10.0,9.0,10.0,0,2
32,34,40,40,0,1,1,3,1.0,1.0,1.0,483.0,3,10,9.0,10.0,10.0,10.0,10.0,9.0,0,2
33,36,42,42,0,1,1,6,1.0,2.0,2.0,904.0,2,365,9.0,9.0,9.0,10.0,9.0,8.0,1,3
34,37,43,43,1,1,1,5,1.0,2.0,2.0,314.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,1,9
35,38,44,44,1,1,1,4,1.0,2.0,2.0,942.0,2,365,10.0,10.0,10.0,10.0,10.0,10.0,0,3
36,39,45,45,0,9,1,2,2.0,1.0,2.0,844.0,3,30,5.0,5.0,5.0,5.0,5.0,5.0,0,1
37,40,46,46,1,6,1,4,1.0,1.0,3.0,407.0,30,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
38,42,48,48,0,2,2,2,1.0,1.0,1.0,241.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
39,43,49,49,0,1,2,2,1.0,1.0,1.0,201.0,2,20,10.0,10.0,10.0,10.0,10.0,10.0,0,2
40,44,50,50,1,1,2,1,1.0,1.0,1.0,143.0,20,1124,10.0,9.0,10.0,10.0,10.0,10.0,0,9
41,45,51,51,1,1,2,1,1.0,1.0,1.0,116.0,16,1124,9.0,8.0,10.0,9.0,9.0,9.0,0,9
42,46,52,52,0,6,2,1,1.0,1.0,1.0,231.0,1,730,5.0,5.0,5.0,5.0,5.0,5.0,0,1
43,47,54,54,0,1,1,3,1.0,1.0,1.0,238.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
44,48,55,55,0,1,1,3,2.0,1.0,2.0,381.0,14,730,8.0,8.0,10.0,10.0,10.0,10.0,0,2
45,49,56,56,0,1,2,2,1.0,1.0,1.0,337.0,3,90,10.0,10.0,10.0,10.0,10.0,10.0,0,1
46,51,58,58,0,4,1,4,1.0,3.0,3.0,674.0,3,365,9.0,9.0,10.0,10.0,9.0,9.0,1,3
47,52,59,59,0,3,2,3,0.0,1.0,2.0,143.0,20,210,10.0,9.0,10.0,10.0,10.0,10.0,0,2
48,53,60,60,0,1,1,3,1.0,1.0,1.0,213.0,30,365,10.0,9.0,10.0,10.0,10.0,9.0,0,12
49,54,61,61,0,1,1,4,1.0,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,10.0,8.0,0,7
50,55,62,62,1,6,1,3,1.0,1.0,1.0,381.0,3,180,10.0,10.0,10.0,10.0,10.0,10.0,0,2
51,56,63,63,0,4,2,6,1.0,1.0,6.0,155.0,1,365,10.0,9.0,10.0,10.0,9.0,10.0,0,1
52,57,64,64,0,2,2,1,1.0,1.0,1.0,381.0,5,660,5.0,5.0,5.0,5.0,5.0,5.0,0,1
53,58,66,66,0,1,1,4,1.0,2.0,2.0,942.0,5,365,9.0,9.0,10.0,9.0,8.0,9.0,0,7
54,59,67,67,0,3,2,4,1.0,1.0,0.0,564.0,1,1125,8.0,9.0,9.0,9.0,9.0,9.0,1,3
55,60,68,68,0,1,2,1,2.0,1.0,1.0,333.0,14,760,8.0,8.0,10.0,8.0,10.0,10.0,0,2
56,61,69,69,0,4,2,1,1.0,1.0,1.0,146.0,2,365,10.0,10.0,10.0,10.0,10.0,9.0,0,2
57,62,70,70,0,4,2,1,1.0,1.0,1.0,177.0,2,760,10.0,8.0,10.0,10.0,10.0,10.0,0,2
58,63,71,71,0,3,2,2,1.0,1.0,2.0,523.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
59,64,72,72,0,3,2,3,1.0,1.0,3.0,714.0,2,30,5.0,5.0,5.0,5.0,5.0,5.0,0,1
60,65,73,73,0,1,1,2,1.0,1.0,1.0,476.0,7,90,5.0,10.0,10.0,10.0,10.0,10.0,0,1
61,66,74,74,0,1,1,5,1.0,3.0,4.0,769.0,1,365,9.0,9.0,9.0,10.0,10.0,9.0,1,3
62,67,75,75,0,1,2,2,1.0,1.0,1.0,856.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
