host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,,
0,5,1,3,1,2,2,10,365,900,9,9,10,10,10,9,0,2,,
0,1,1,2,1,1,1,3,30,90,10,9,10,10,10,10,0,1,,
0,11,1,2,1,2,2,11,3,60,5,5,5,5,5,5,0,1,,
0,1,2,3,1,1,1,5,3,15,5,5,5,5,5,5,0,1,,
0,1,2,2,1,1,1,10,1,2,5,5,5,5,5,5,1,1,,
0,2,2,2,1,1,1,6,2,15,10,10,10,10,10,10,0,2,,
0,1,2,1,1,1,1,6,1,730,5,5,5,5,5,5,0,1,,
1,1,1,2,1,1,1,3,30,730,9,9,9,10,8,9,0,3,,
0,1,1,5,1,2,2,6,5,365,9,10,10,10,9,9,0,7,,
1,1,2,2,1,1,1,9,180,180,9,9,10,9,10,9,0,1,,
0,5,1,3,1,1,2,5,30,300,9,9,9,9,8,8,0,8,,
0,1,2,1,2,1,1,5,3,30,5,5,5,5,5,5,1,1,,
1,6,1,4,2,2,2,6,3,180,10,10,10,10,10,9,0,2,,
0,1,1,5,1,2,2,6,5,365,9,10,10,10,9,9,0,7,,
0,1,1,2,1,1,1,3,28,150,8,8,9,9,9,8,0,3,,
0,1,2,3,1,1,1,8,3,365,5,5,5,5,5,5,0,3,,
0,1,2,1,2,2,2,4,2,1125,10,10,10,10,10,10,0,1,,
0,1,1,3,1,1,2,3,5,786,9,7,9,9,9,8,0,2,,
0,1,1,6,2,3,4,10,3,730,10,10,10,10,10,10,0,9,,
0,1,2,2,2,1,1,3,2,1125,9,9,10,10,10,9,0,1,,
1,1,2,1,1,1,1,2,2,30,10,10,10,10,10,10,0,1,,
0,5,2,2,1,1,1,2,15,300,9,9,10,10,9,9,0,8,,
0,1,1,4,1,2,2,5,2,30,7,7,10,7,10,7,0,1,,
0,3,1,6,1,3,4,6,2,100,9,9,10,10,10,9,1,13,,
1,1,1,5,1,2,2,3,3,28,10,10,10,10,9,9,1,2,,
0,1,1,5,1,2,3,5,4,45,9,9,10,10,10,9,0,2,,
0,4,2,2,1,1,1,5,1,14,10,10,10,10,10,10,0,1,,
0,8,1,2,1,1,2,13,2,730,5,5,5,5,5,5,0,1,,
1,1,2,1,1,1,1,2,20,1124,10,9,10,10,10,9,0,9,,
0,4,1,4,1,2,2,5,4,60,10,10,10,10,10,10,1,1,,
0,1,1,6,1,2,5,5,3,365,9,8,10,10,8,9,1,3,,
0,1,1,4,1,1,1,5,15,150,9,8,9,8,7,8,0,3,,
0,2,2,1,1,1,1,5,1,730,5,5,5,5,5,5,0,1,,
1,11,2,2,2,1,2,3,2,365,9,8,10,10,9,10,0,2,,
0,1,1,3,1,1,1,5,3,10,9,10,10,10,10,9,0,2,,
0,1,1,4,1,1,4,12,6,730,10,10,10,10,10,10,0,1,,
0,1,1,6,1,2,2,10,2,365,9,9,9,10,9,8,1,3,,
1,1,1,5,1,2,2,4,2,1125,9,9,10,10,10,9,1,9,,
1,1,1,4,1,2,2,10,2,365,10,10,10,10,10,10,0,3,,
0,9,1,2,2,1,2,9,3,30,5,5,5,5,5,5,0,1,,
1,6,1,4,1,1,3,5,30,1125,10,10,10,10,10,10,0,2,,
0,1,1,4,1,1,1,13,7,365,9,7,9,9,10,9,0,1,,
0,2,2,2,1,1,1,3,1,365,5,5,5,5,5,5,0,1,,
0,1,2,2,1,1,1,3,2,20,10,10,10,10,10,10,0,2,,
1,1,2,1,1,1,1,2,20,1124,10,9,10,10,10,10,0,9,,
1,1,2,1,1,1,1,2,16,1124,9,8,10,9,9,9,0,9,,
0,6,2,1,1,1,1,3,1,730,5,5,5,5,5,5,0,1,,
0,1,1,3,1,1,1,3,3,1125,10,10,10,10,10,10,0,1,,
0,1,1,3,2,1,2,4,14,730,8,8,10,10,10,10,0,2,,
0,1,2,2,1,1,1,4,3,90,10,10,10,10,10,10,0,1,,
0,24,2,12,1,1,2,32,1,730,5,5,5,5,5,5,0,2,,
0,4,1,4,1,3,3,7,3,365,9,9,10,10,9,9,1,3,,
0,3,2,3,0,1,2,2,20,210,10,9,10,10,10,10,0,2,,
0,1,1,3,1,1,1,3,30,365,10,9,10,10,10,9,0,12,,
0,1,1,4,1,2,2,6,5,365,9,10,10,10,10,8,0,7,,
1,6,1,3,1,1,1,4,3,180,10,10,10,10,10,10,0,2,,
0,4,2,6,1,1,6,2,1,365,10,9,10,10,9,10,0,1,,
0,2,2,1,1,1,1,4,5,660,5,5,5,5,5,5,0,1,,
0,1,1,4,1,2,2,10,5,365,9,9,10,9,8,9,0,7,,
0,3,2,4,1,1,0,6,1,1125,8,9,9,9,9,9,1,3,,
0,1,2,1,2,1,1,4,14,760,8,8,10,8,10,10,0,2,,
0,4,2,1,1,1,1,2,2,365,10,10,10,10,10,9,0,2,,
0,4,2,1,1,1,1,2,2,760,10,8,10,10,10,10,0,2,,
0,3,2,2,1,1,2,6,1,365,5,5,5,5,5,5,0,1,,
0,3,2,3,1,1,3,8,2,30,5,5,5,5,5,5,0,1,,
0,1,1,2,1,1,1,5,7,90,5,10,10,10,10,10,0,1,,
0,1,1,5,1,3,4,8,1,365,9,9,9,10,10,9,1,3,,
0,1,2,2,1,1,1,9,1,365,5,5,5,5,5,5,0,1,,
0,1,1,8,1,2,2,10,2,760,5,5,5,5,5,5,0,1,,
0,3,2,3,2,1,2,2,3,200,10,10,10,10,10,10,1,15,,
0,3,2,3,2,1,3,1,2,1125,9,9,9,10,9,9,1,15,,
0,2,1,5,1,4,4,4,2,365,9,9,10,10,10,9,0,4,,
1,1,1,6,2,2,3,6,2,60,10,10,10,10,10,9,1,13,,
0,2,1,2,1,2,1,5,2,365,10,10,10,10,10,10,0,1,,
0,2,2,2,1,1,1,4,1,365,5,5,5,5,5,5,0,2,,
0,3,2,3,2,1,3,1,2,100,9,9,10,10,9,9,1,15,,
0,3,1,3,1,3,3,5,7,365,5,5,5,5,5,5,0,1,,
0,1,1,3,1,1,2,3,3,800,9,10,10,10,10,9,0,12,,
0,1,1,4,2,1,1,17,30,365,5,5,5,5,5,5,0,2,,
0,3,4,3,2,1,3,1,2,300,9,9,9,9,9,9,1,15,,
0,4,1,3,1,1,2,4,3,760,9,9,9,9,9,9,0,3,,
0,4,1,5,1,2,3,7,3,760,9,8,9,9,9,9,0,3,,
0,4,1,4,1,1,2,5,3,365,9,9,9,8,9,8,0,3,,
0,4,1,4,1,3,2,9,4,15,5,5,5,5,5,5,1,2,,
1,1,1,6,2,3,4,15,2,365,10,9,10,10,10,9,1,3,,
0,1,1,2,1,1,1,8,7,10,5,5,5,5,5,5,0,1,,
1,1,1,3,1,2,2,6,6,1125,10,10,10,10,10,10,0,4,,
1,1,1,3,1,2,2,6,6,1125,10,10,10,10,10,9,0,4,,
1,1,1,3,1,2,2,6,6,1125,10,10,10,10,10,10,0,4,,
1,1,1,2,1,1,1,5,6,1125,10,10,10,10,10,10,0,4,,
0,1,1,6,1,2,2,10,1,1125,9,9,9,9,9,9,0,1,,
0,2,2,1,1,1,1,2,1,365,9,10,10,10,9,10,0,4,,
0,2,2,2,1,1,1,2,2,365,9,9,9,9,9,9,0,4,,
0,1,1,6,1,2,2,7,6,1125,5,5,5,5,5,5,0,3,,
0,1,1,4,1,2,2,7,6,90,10,10,10,10,10,10,0,3,,
0,18,1,4,1,2,3,9,3,1125,10,10,10,10,10,10,0,2,,
0,1,1,3,2,1,1,20,1,1125,5,5,5,5,5,5,0,2,,
0,19,1,6,1,3,3,8,1,365,10,9,10,10,9,9,0,1,,
0,1,1,4,2,2,2,5,3,365,10,10,10,10,8,9,0,2,,
0,2,2,1,1,1,1,2,2,12,10,10,10,10,10,10,0,1,,
0,5,2,1,1,1,1,2,3,100,10,10,10,10,10,10,1,1,,
0,1,1,4,2,1,4,16,2,180,9,10,10,10,10,8,0,15,,
0,1,1,4,2,1,4,20,2,180,5,5,5,5,5,5,0,15,,
0,5,2,2,1,1,1,4,1,1125,5,5,5,5,5,5,0,1,,
0,6,1,1,1,1,1,4,1,21,5,5,5,5,5,5,0,1,,
0,4,1,4,1,2,4,12,6,60,9,9,10,10,10,10,0,1,,
1,3,1,4,1,1,3,15,1,1125,5,5,5,5,5,5,1,5,,
0,6,2,1,1,1,1,4,1,15,5,5,5,5,5,5,0,2,,
0,2,1,3,1,1,2,12,2,90,10,10,10,10,9,9,1,1,,
0,3,2,3,2,1,2,2,2,200,9,9,9,10,9,9,1,15,,
1,1,1,3,1,1,2,4,2,364,9,9,9,9,9,9,0,3,,
0,1,2,2,1,1,2,11,1,1125,5,5,5,5,5,5,0,1,,
0,6,2,2,1,1,1,4,2,10,5,5,5,5,5,5,0,2,,
0,2,3,6,2,3,4,10,10,150,10,8,10,10,10,10,1,1,,
0,1,1,2,1,1,2,6,30,730,5,5,5,5,5,5,0,1,,
1,1,1,5,1,1,2,4,2,1125,10,10,10,10,10,9,1,9,,
0,1,2,1,2,1,1,1,1,30,10,10,10,10,10,10,1,8,,
0,4,2,1,1,1,1,4,2,30,5,5,5,5,5,5,1,1,,
0,1,1,6,2.5,2,4,6,60,365,9,9,10,10,10,9,0,1,,
0,1,1,3,1,1,2,3,1,450,9,9,10,10,10,9,0,12,,
0,19,1,5,1,3,3,7,2,1125,10,9,10,10,10,9,0,1,,
0,5,2,2,1,1,1,16,1,1125,5,5,5,5,5,5,0,1,,
1,11,2,2,2,1,1,2,3,1125,10,10,10,10,9,10,0,2,,
0,4,1,8,1,3,4,5,3,1125,9,7,9,9,10,9,0,2,,
0,1,1,3,1,1,2,3,2,450,9,8,9,9,10,9,0,12,,
0,2,2,2,1,1,1,5,3,14,10,10,10,10,10,10,0,1,,
0,1,1,3,1,1,2,96,4,1125,10,10,10,10,9,9,0,7,,
0,5,1,4,1,2,3,3,3,15,5,5,5,5,5,5,0,1,,
0,1,1,6,1,2,3,12,4,60,10,10,10,10,10,9,0,4,,
0,1,2,1,2,1,1,2,2,99,7,8,9,8,9,8,1,8,,
0,1,1,4,1,1,2,7,2,365,9,9,9,10,9,9,1,3,,
0,1,1,5,2,2,4,9,3,365,9,9,9,10,10,9,0,7,,
0,2,2,4,1,1,4,4,2,60,10,8,10,10,10,8,1,1,,
0,1,1,3,1,2,2,2,5,1125,10,9,10,10,9,10,0,1,,
0,1,1,5,1,2,2,10,5,1125,2,6,6,4,6,2,0,7,,
0,2,1,4,1,1,1,5,1,1125,10,9,9,10,9,9,0,1,,
0,2,1,4,2,2,1,2,3,1125,9,8,9,9,10,9,1,1,,
0,3,2,4,2,1,6,2,2,200,9,8,9,10,9,9,1,15,,
0,5,2,6,1,3,3,4,2,1125,10,9,10,10,10,10,0,2,,
1,1,1,2,1,1,1,5,2,120,10,10,10,10,10,10,1,5,,
0,13,1,4,1,1,2,8,6,1125,9,9,9,9,9,9,1,1,,
0,2,2,1,1,1,1,2,2,1825,10,10,10,10,10,10,0,1,,
0,5,1,5,1,1,3,12,3,30,5,5,5,5,5,5,0,7,,
0,1,1,6,1,2,4,15,1,1125,8,9,10,10,9,10,0,5,,
0,2,2,2,1,1,1,3,1,1125,10,10,10,10,10,10,0,1,,
0,21,1,4,1,1,1,5,2,1125,8,10,10,10,8,10,0,1,,
0,3,2,1,0,1,1,1,20,210,10,10,10,10,10,10,0,2,,
0,3,1,5,1,2,1,11,1,14,7,9,7,7,8,7,0,2,,
0,2,2,1,1,1,1,1,1,1125,9,8,10,10,9,10,0,1,,
1,1,1,6,2,3,4,8,2,60,10,10,10,10,10,9,1,13,,
1,1,1,6,2,3,3,8,2,60,10,10,10,10,10,10,1,13,,
0,4,2,1,1,1,1,2,1,14,5,5,5,5,5,5,0,1,,
1,1,1,5,1,2,3,5,2,60,10,10,10,10,10,10,1,13,,
1,1,1,2,1,1,1,4,2,60,10,10,10,10,9,9,1,13,,
0,1,1,6,1,2,2,10,2,1125,9,9,10,10,10,9,0,11,,
0,1,1,8,2,3,8,6,3,1125,10,9,10,10,10,9,0,1,,
0,1,2,1,1,1,1,2,3,1095,9,8,10,10,7,9,1,6,,
0,1,1,3,1,1,1,3,2,1095,9,9,10,10,8,9,1,6,,
0,1,1,4,2,2,2,7,8,1125,10,9,9,10,10,9,0,1,,
0,4,2,2,1,1,2,3,1,1125,5,5,5,5,5,5,0,1,,
0,1,2,2,2,1,2,5,1,45,10,10,10,10,10,9,0,3,,
0,1,1,5,1,2,2,6,2,1125,8,7,9,9,8,8,0,5,,
0,5,1,4,2,2,2,8,5,1125,9,10,10,10,10,10,0,1,,
0,3,2,4,1,1,3,12,1,1125,5,5,5,5,5,5,0,2,,
0,5,2,2,1,1,1,14,1,1125,5,5,5,5,5,5,0,1,,
0,1,2,1,1,1,1,2,3,365,9,8,10,9,8,8,1,6,,
1,2,1,6,1,2,3,5,3,30,10,10,10,10,10,10,1,2,,
0,2,1,6,2,2,3,11,2,30,10,10,10,10,10,10,0,2,,
1,3,1,7,3,5,5,16,2,1825,10,10,10,10,10,9,0,3,,
0,1,1,3,1,1,1,3,3,1125,9,9,9,9,10,10,1,6,,
0,1,2,2,1,1,1,5,3,30,5,5,5,5,5,5,0,2,,
0,11,2,5,1,1,4,15,5,1125,8,9,8,8,5,8,0,4,,
0,1,2,1,1,1,1,3,2,60,5,5,5,5,5,5,0,1,,
0,5,1,6,2,3,3,13,2,1125,10,10,9,10,9,9,0,1,,
1,1,2,2,1,1,2,3,7,1125,8,8,9,9,10,9,1,3,,
0,1,2,1,1,1,1,2,3,1095,9,9,10,9,8,9,1,6,,
0,1,2,1,1,1,1,2,3,1095,9,9,9,9,6,8,0,6,,
1,2,1,5,2,2,2,6,2,30,10,9,10,10,10,10,1,2,,
0,11,2,2,1,1,1,6,5,1125,10,10,10,10,10,10,0,4,,
0,1,1,6,1,2,5,9,30,1125,8,8,9,9,9,9,1,5,,
0,11,2,2,1,1,1,6,5,1125,5,5,5,5,5,5,0,4,,
0,11,2,1,1,1,1,4,5,1125,5,5,5,5,5,5,0,4,,
0,2,1,4,1,2,1,3,2,1125,9,10,10,10,9,10,0,3,,
0,2,1,1,1,1,1,6,3,1125,5,5,5,5,5,5,0,2,,
0,1,2,1,1,1,1,6,1,1825,5,5,5,5,5,5,0,1,,
1,1,1,4,1,1,1,4,1,365,8,6,10,10,8,8,0,5,,
1,1,2,2,1,1,1,3,7,30,10,8,9,9,10,10,1,3,,
1,5,2,2,1,1,2,2,7,1125,10,10,9,10,9,9,0,11,,
0,3,2,4,1,1,1,12,1,1125,5,5,5,5,5,5,0,1,,
0,4,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,0,2,,
0,3,2,5,2,1,5,12,1,1125,5,5,5,5,5,5,0,1,,
0,4,2,2,1,1,1,4,7,14,10,10,9,10,9,10,1,3,,
0,4,2,13,3,1,13,1,30,1125,10,8,10,10,10,10,0,4,,
1,3,3,3,2,2,2,4,1,1125,10,10,10,10,10,10,1,3,,
1,3,3,4,2,3,3,4,1,1125,10,10,10,10,10,10,1,3,,
0,11,2,1,1,1,1,7,1,1125,5,5,5,5,5,5,0,1,,
0,3,2,2,1,1,1,6,1,180,5,5,5,5,5,5,1,1,,
0,2,1,3,2,2,2,4,3,300,9,10,10,10,10,10,1,1,,
0,1,1,3,1,1,1,8,1,1125,5,5,5,5,5,5,0,1,,
1,1,1,7,2,2,4,7,3,1125,10,10,10,10,10,10,0,1,,
0,1,2,1,1,1,1,3,360,365,5,5,5,5,5,5,0,1,,
0,3,1,2,1,1,1,2,1,1125,8,9,9,9,9,8,1,21,,
0,4,1,11,2,4,8,6,2,1125,9,9,10,10,10,9,0,4,,
0,1,4,1,1,1,1,5,1,1125,5,5,5,5,5,5,0,1,,
0,3,2,1,1,1,1,3,1,1125,5,5,5,5,5,5,0,1,,
1,2,1,3,1,1,1,7,3,365,9,9,10,9,10,9,0,5,,
0,1,2,2,1,1,1,5,2,1125,5,5,5,5,5,5,0,1,,
1,1,1,6,2,3,4,18,1,365,9,10,10,10,10,9,0,11,,
1,1,1,4,1,2,3,5,3,30,10,9,10,10,10,10,0,3,,
1,1,1,5,2,2,2,10,2,180,10,10,10,9,10,9,1,11,,
1,1,1,3,1,1,0,6,2,180,10,10,10,10,10,9,0,11,,
0,4,1,5,2,3,7,6,4,30,10,9,10,10,10,10,0,1,,
1,1,1,3,1,1,1,6,2,150,10,10,10,9,10,9,0,11,,
1,1,1,3,1,1,1,6,2,150,10,10,10,10,10,10,0,11,,
1,1,1,4,1,1,1,14,2,180,9,10,10,10,9,10,0,11,,
0,3,1,2,1,1,2,3,2,1125,9,9,9,10,9,9,1,8,,
0,3,1,6,2,2,3,4,2,1125,9,9,9,9,9,9,1,8,,
0,3,2,2,1,1,1,2,1,1125,10,10,10,10,10,10,0,2,,
0,1,1,5,1,2,2,15,1,1125,8,8,9,10,9,8,1,1,,
0,3,1,4,1,1,2,4,2,1125,9,9,9,9,9,9,1,8,,
0,3,1,2,1,1,1,3,2,1125,9,9,10,9,9,9,1,8,,
0,2,1,3,1,2,2,11,3,14,5,5,5,5,5,5,0,1,,
1,5,2,2,1,1,1,2,7,1000,10,10,10,10,10,10,0,11,,
0,5,1,4,2.5,2,2,5,2,200,10,10,10,10,10,10,0,1,,
0,2,2,2,2,1,2,10,1,1825,5,5,5,5,5,5,0,1,,
0,11,2,1,1,1,1,7,180,1825,5,5,5,5,5,5,1,1,,
1,18,1,3,1,1,2,6,5,365,10,10,10,10,9,10,0,2,,
0,1,2,1,1,1,1,6,5,365,10,10,8,10,10,10,0,1,,
1,3,1,2,2,1,2,5,14,1125,9,10,10,10,9,9,1,4,,
1,3,1,2,1,1,1,4,14,1125,9,9,9,9,9,9,1,4,,
0,3,1,8,3,2,2,23,1,1125,9,9,9,9,9,8,0,2,,
